Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Stworzenie metryki,Chrome 68.0.3440.106,,2018-08-20 17:13:02,2018-08-20 17:13:47,"44,855s",PASSED
,,,,,,
Test Cases/Zamowienia publiczne/Logowanie/Wejscie na strone,Chrome 68.0.3440.106,,2018-08-20 17:13:03,2018-08-20 17:13:30,"26,694s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-20 17:13:04,2018-08-20 17:13:09,"5,633s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login11.exe""",Chrome 68.0.3440.106,,2018-08-20 17:13:09,2018-08-20 17:13:09,"0,002s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-20 17:13:09,2018-08-20 17:13:09,"0,046s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 17:13:09,2018-08-20 17:13:26,"16,902s",PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 68.0.3440.106,,2018-08-20 17:13:26,2018-08-20 17:13:29,"3,013s",PASSED
doubleClick,Chrome 68.0.3440.106,,2018-08-20 17:13:29,2018-08-20 17:13:30,"0,363s",PASSED
,,,,,,
Test Cases/Zamowienia publiczne/Logowanie/Logowanie poprawne,Chrome 68.0.3440.106,,2018-08-20 17:13:30,2018-08-20 17:13:35,"5,425s",PASSED
"Statement - autoit_prj = ""C:\inzamon\login-correct.exe""",Chrome 68.0.3440.106,,2018-08-20 17:13:30,2018-08-20 17:13:30,"0,003s",PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 68.0.3440.106,,2018-08-20 17:13:30,2018-08-20 17:13:30,"0,022s",PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 68.0.3440.106,,2018-08-20 17:13:30,2018-08-20 17:13:35,"5,001s",PASSED
,,,,,,
Test Cases/Zamowienia publiczne/Metryka/Z podzialem z komisja,Chrome 68.0.3440.106,,2018-08-20 17:13:35,2018-08-20 17:13:47,"11,947s",PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-20 17:13:36,2018-08-20 17:13:36,"0,108s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:36,2018-08-20 17:13:36,"0,241s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:36,2018-08-20 17:13:37,"1,080s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:37,2018-08-20 17:13:38,"0,534s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:38,2018-08-20 17:13:38,"0,743s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:38,2018-08-20 17:13:39,"0,486s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:39,2018-08-20 17:13:39,"0,342s",PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-08-20 17:13:39,2018-08-20 17:13:39,"0,122s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:39,2018-08-20 17:13:39,"0,224s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:39,2018-08-20 17:13:40,"0,411s",PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-08-20 17:13:40,2018-08-20 17:13:40,"0,028s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:40,2018-08-20 17:13:40,"0,356s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:40,2018-08-20 17:13:41,"0,250s",PASSED
waitForElementPresent,Chrome 68.0.3440.106,,2018-08-20 17:13:41,2018-08-20 17:13:41,"0,049s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:41,2018-08-20 17:13:41,"0,355s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:41,2018-08-20 17:13:41,"0,316s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:41,2018-08-20 17:13:41,"0,214s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:41,2018-08-20 17:13:42,"0,324s",PASSED
waitForAngularLoad,Chrome 68.0.3440.106,,2018-08-20 17:13:42,2018-08-20 17:13:42,"0,122s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-20 17:13:42,2018-08-20 17:13:42,"0,567s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:42,2018-08-20 17:13:43,"0,246s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:43,2018-08-20 17:13:43,"0,312s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:43,2018-08-20 17:13:44,"0,981s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-20 17:13:44,2018-08-20 17:13:44,"0,414s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:44,2018-08-20 17:13:45,"0,209s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 17:13:45,2018-08-20 17:13:45,"0,402s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:45,2018-08-20 17:13:45,"0,398s",PASSED
selectOptionByValue,Chrome 68.0.3440.106,,2018-08-20 17:13:45,2018-08-20 17:13:46,"0,730s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:46,2018-08-20 17:13:46,"0,202s",PASSED
click,Chrome 68.0.3440.106,,2018-08-20 17:13:46,2018-08-20 17:13:47,"0,727s",PASSED
